2024-11-19 12:57:08.748 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-11-19 12:57:08.751 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-11-19 12:57:08.765 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-11-19 12:57:13.592 [main] INFO  l.i.c.CropsMonitoringApplication - Starting CropsMonitoringApplication using Java 17.0.12 with PID 11908 (G:\GDSE\2nd SEM\AAD1\Final CourseWork\Crop-monitoring-system-BackEnd\cropsMonitoring\target\classes started by nisha in G:\GDSE\2nd SEM\AAD1\Final CourseWork\Crop-monitoring-system-BackEnd)
2024-11-19 12:57:13.593 [main] DEBUG l.i.c.CropsMonitoringApplication - Running with Spring Boot v3.1.3, Spring v6.0.11
2024-11-19 12:57:13.594 [main] INFO  l.i.c.CropsMonitoringApplication - The following 1 profile is active: "dev"
2024-11-19 12:57:14.263 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-11-19 12:57:14.345 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 75 ms. Found 6 JPA repository interfaces.
2024-11-19 12:57:14.756 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 5055 (http)
2024-11-19 12:57:14.762 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-11-19 12:57:14.763 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2024-11-19 12:57:14.837 [main] INFO  o.a.c.c.C.[.[.[/cropcontroller] - Initializing Spring embedded WebApplicationContext
2024-11-19 12:57:14.838 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1196 ms
2024-11-19 12:57:14.958 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-11-19 12:57:15.005 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.7.Final
2024-11-19 12:57:15.007 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2024-11-19 12:57:15.113 [main] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2024-11-19 12:57:15.231 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
